001	002
001	006
002	006
002	005
002	004
002	003
003	004
004	005
006	005
006	008
006	007
005	009
005	008
005	009
009	010
009	011
009	012
009	011
012	011
011	014
014	013
013	008
013	017
017	016
016	015
015	014
023	015
023	022
022	021
021	015
021	016
021	020
020	015
020	018
018	017
016	018
016	020
016	029
018	019
026	020
026	021
026	022
023	022
023	024
024	024
025	024
025	026
025	028
030	029
028	018
024	027
027	025
001	002
006	005
004	003
009	010
011	012
014	013
015	016
005	004
014	013
016	013
015	013
014	026
001	024
