No	Title	Name	Price	Menu
1	사이즈	기본 (6oz)	0	2
2	사이즈	엑스트라 (9oz)	3900	2
3	사이즈	더블 (12oz)	5900	2
4	맛	바나나	0	4
5	맛	초코	0	4
6	맛	화이트 초코	0	4
7	맛	딸기	0	4
8	맛	솔티드 캐러맬	900	4
9	맛	엑스트라 라즈베리&캐러맬	1600	4
10	사이즈	기본 (8인치)	0	6
11	사이즈	라지 (10인치)	16000	6
12	사이즈	기본	0	26
13	사이즈	라지	1000	26
14	사이즈	캔	0	28
15	사이즈	페트 (473ML)	1000	28
16	사이즈	페트 (1.25L)	2000	28
17	맛	오리지널	0	28
18	맛	다이어트	0	28
19	맛	바닐라	0	28
20	사이즈	캔	0	29
21	사이즈	페트 (473ML)	1000	29
22	사이즈	페트 (1.25L)	2500	29
23	사이즈	일반 사이즈 (6pcs)	0	31
24	사이즈	라지 사이즈 (7pcs)	1000	31
25	사이즈	엑스트라 사이즈 (8pcs)	2000	31
26	갯수	1조각	0	33
27	갯수	2조각	1500	33
28	갯수	4조각	2500	33
29	갯수	8조각	4500	33
30	포장	비닐	0	33
31	포장	플라스틱	0	33
32	토핑	기본	0	39
33	토핑	더블 파인애플	1000	39
34	옵션	아보카도	1500	42
35	옵션	크림 치즈	1500	42
36	옵션	아메리칸 치즈	1500	42
37	옵션	레귤러 햄	1500	42
38	사이즈	기본	0	42
39	사이즈	더블	3000	42
40	베이글 옵션	아시아고 치즈	700	43
41	베이글 옵션	플레인	0	43
42	베이글 옵션	시나몬 레이신	0	43
43	베이글 옵션	에브리띵 베이글	0	43
44	햄	레귤러 쿡 햄	0	43
45	햄	스모크 햄	0	43
46	추가 토핑	아보카도	1500	43
47	추가 토핑	크림 치즈	1500	43
48	추가 토핑	아메리칸 치즈	650	43
49	추가 토핑	레귤러 쿡 햄	1500	43
50	추가 토핑	스모크 햄	1500	43
51	달콤한 정도	100%	0	44
52	달콤한 정도	80%	0	44
53	달콤한 정도	50%	0	44
54	달콤한 정도	30%	0	44
55	달콤한 정도	달콤함 없음	0	44
56	차가운 정도	100%	0	44
57	차가운 정도	80%	0	44
58	차가운 정도	50%	0	44
59	차가운 정도	30%	0	44
60	차가운 정도	아이스 없음	0	44
61	토핑	타피오카	800	44
62	토핑	크리스탈 타피오카	1200	44
63	토핑	블루베리 하트 젤리	1200	44
64	토핑	망고 하트 젤리	1200	44
65	달콤한 정도	100%	0	45
66	달콤한 정도	80%	0	45
67	달콤한 정도	50%	0	45
68	달콤한 정도	30%	0	45
69	달콤한 정도	달콤함 없음	0	45
70	토핑	타피오카	0	45
71	토핑	크리스탈 타피오카	1200	45
72	토핑	블루베리 하트 젤리	1200	45
73	토핑	망고 하트 젤리	1200	45
74	달콤한 정도	100%	0	46
